,score,species,raw_position,strand,align_position,motif
3386,3.3556277751922607,VT65128|0|MEMB002A|-|542,0,positive,195,bcd_FlyReg.fm
3387,-1.892299771308899,VT65128|0|MEMB002A|-|542,0,negative,195,bcd_FlyReg.fm
3388,1.0925933122634888,VT65128|0|MEMB002A|-|542,1,positive,196,bcd_FlyReg.fm
3389,-6.140227317810059,VT65128|0|MEMB002A|-|542,1,negative,196,bcd_FlyReg.fm
3390,1.0925933122634888,VT65128|0|MEMB002A|-|542,2,positive,197,bcd_FlyReg.fm
3391,-6.140227317810059,VT65128|0|MEMB002A|-|542,2,negative,197,bcd_FlyReg.fm
3392,1.0925933122634888,VT65128|0|MEMB002A|-|542,3,positive,198,bcd_FlyReg.fm
3393,-6.140227317810059,VT65128|0|MEMB002A|-|542,3,negative,198,bcd_FlyReg.fm
3394,1.0925933122634888,VT65128|0|MEMB002A|-|542,4,positive,199,bcd_FlyReg.fm
3395,-6.140227317810059,VT65128|0|MEMB002A|-|542,4,negative,199,bcd_FlyReg.fm
3396,1.0925933122634888,VT65128|0|MEMB002A|-|542,5,positive,200,bcd_FlyReg.fm
3397,-6.140227317810059,VT65128|0|MEMB002A|-|542,5,negative,200,bcd_FlyReg.fm
3398,1.0925933122634888,VT65128|0|MEMB002A|-|542,6,positive,201,bcd_FlyReg.fm
3399,-6.140227317810059,VT65128|0|MEMB002A|-|542,6,negative,201,bcd_FlyReg.fm
3400,1.0925933122634888,VT65128|0|MEMB002A|-|542,7,positive,202,bcd_FlyReg.fm
3401,-6.140227317810059,VT65128|0|MEMB002A|-|542,7,negative,202,bcd_FlyReg.fm
3402,1.0925933122634888,VT65128|0|MEMB002A|-|542,8,positive,203,bcd_FlyReg.fm
3403,-6.140227317810059,VT65128|0|MEMB002A|-|542,8,negative,203,bcd_FlyReg.fm
3404,1.0925933122634888,VT65128|0|MEMB002A|-|542,9,positive,204,bcd_FlyReg.fm
3405,-6.140227317810059,VT65128|0|MEMB002A|-|542,9,negative,204,bcd_FlyReg.fm
3406,1.0925933122634888,VT65128|0|MEMB002A|-|542,10,positive,205,bcd_FlyReg.fm
3407,-6.140227317810059,VT65128|0|MEMB002A|-|542,10,negative,205,bcd_FlyReg.fm
3408,1.0925933122634888,VT65128|0|MEMB002A|-|542,11,positive,206,bcd_FlyReg.fm
3409,-6.140227317810059,VT65128|0|MEMB002A|-|542,11,negative,206,bcd_FlyReg.fm
3410,2.054119110107422,VT65128|0|MEMB002A|-|542,12,positive,207,bcd_FlyReg.fm
3411,-6.201627731323242,VT65128|0|MEMB002A|-|542,12,negative,207,bcd_FlyReg.fm
3412,-3.155334234237671,VT65128|0|MEMB002A|-|542,13,positive,208,bcd_FlyReg.fm
3413,-7.555264949798584,VT65128|0|MEMB002A|-|542,13,negative,208,bcd_FlyReg.fm
3414,-6.403261661529541,VT65128|0|MEMB002A|-|542,14,positive,209,bcd_FlyReg.fm
3415,-6.403261661529541,VT65128|0|MEMB002A|-|542,14,negative,209,bcd_FlyReg.fm
3416,-7.555264949798584,VT65128|0|MEMB002A|-|542,15,positive,210,bcd_FlyReg.fm
3417,-3.155334234237671,VT65128|0|MEMB002A|-|542,15,negative,210,bcd_FlyReg.fm
3418,-6.201627731323242,VT65128|0|MEMB002A|-|542,16,positive,211,bcd_FlyReg.fm
3419,2.054119110107422,VT65128|0|MEMB002A|-|542,16,negative,211,bcd_FlyReg.fm
3420,-6.140227317810059,VT65128|0|MEMB002A|-|542,17,positive,212,bcd_FlyReg.fm
3421,1.0925933122634888,VT65128|0|MEMB002A|-|542,17,negative,212,bcd_FlyReg.fm
3422,-0.9307739734649658,VT65128|0|MEMB002A|-|542,18,positive,213,bcd_FlyReg.fm
3423,3.294227123260498,VT65128|0|MEMB002A|-|542,18,negative,213,bcd_FlyReg.fm
3424,-1.892299771308899,VT65128|0|MEMB002A|-|542,19,positive,214,bcd_FlyReg.fm
3425,0.10770019143819809,VT65128|0|MEMB002A|-|542,19,negative,214,bcd_FlyReg.fm
3426,-3.1402273178100586,VT65128|0|MEMB002A|-|542,20,positive,215,bcd_FlyReg.fm
3427,-4.155333995819092,VT65128|0|MEMB002A|-|542,20,negative,215,bcd_FlyReg.fm
3428,-4.307337284088135,VT65128|0|MEMB002A|-|542,21,positive,216,bcd_FlyReg.fm
3429,-3.155334234237671,VT65128|0|MEMB002A|-|542,21,negative,216,bcd_FlyReg.fm
3430,-8.4032621383667,VT65128|0|MEMB002A|-|542,22,positive,226,bcd_FlyReg.fm
3431,-3.155334234237671,VT65128|0|MEMB002A|-|542,22,negative,226,bcd_FlyReg.fm
3432,-6.140227317810059,VT65128|0|MEMB002A|-|542,23,positive,227,bcd_FlyReg.fm
3433,1.0925933122634888,VT65128|0|MEMB002A|-|542,23,negative,227,bcd_FlyReg.fm
3434,-0.9307739734649658,VT65128|0|MEMB002A|-|542,24,positive,228,bcd_FlyReg.fm
3435,3.294227123260498,VT65128|0|MEMB002A|-|542,24,negative,228,bcd_FlyReg.fm
3436,-1.892299771308899,VT65128|0|MEMB002A|-|542,25,positive,229,bcd_FlyReg.fm
3437,0.10770019143819809,VT65128|0|MEMB002A|-|542,25,negative,229,bcd_FlyReg.fm
3438,2.069226026535034,VT65128|0|MEMB002A|-|542,26,positive,230,bcd_FlyReg.fm
3439,-1.953700304031372,VT65128|0|MEMB002A|-|542,26,negative,230,bcd_FlyReg.fm
3440,-4.307337284088135,VT65128|0|MEMB002A|-|542,27,positive,231,bcd_FlyReg.fm
3441,-6.403261661529541,VT65128|0|MEMB002A|-|542,27,negative,231,bcd_FlyReg.fm
3442,-5.403261661529541,VT65128|0|MEMB002A|-|542,28,positive,232,bcd_FlyReg.fm
3443,-4.307337284088135,VT65128|0|MEMB002A|-|542,28,negative,232,bcd_FlyReg.fm
3444,-4.307337284088135,VT65128|0|MEMB002A|-|542,29,positive,233,bcd_FlyReg.fm
3445,-2.1402273178100586,VT65128|0|MEMB002A|-|542,29,negative,233,bcd_FlyReg.fm
3446,1.0692260265350342,VT65128|0|MEMB002A|-|542,30,positive,234,bcd_FlyReg.fm
3447,-1.953700304031372,VT65128|0|MEMB002A|-|542,30,negative,234,bcd_FlyReg.fm
3448,2.294227123260498,VT65128|0|MEMB002A|-|542,31,positive,235,bcd_FlyReg.fm
3449,0.06922604143619537,VT65128|0|MEMB002A|-|542,31,negative,235,bcd_FlyReg.fm
3450,-1.155334234237671,VT65128|0|MEMB002A|-|542,32,positive,236,bcd_FlyReg.fm
3451,-6.140227317810059,VT65128|0|MEMB002A|-|542,32,negative,236,bcd_FlyReg.fm
3452,-3.3073372840881348,VT65128|0|MEMB002A|-|542,33,positive,237,bcd_FlyReg.fm
3453,-7.403261661529541,VT65128|0|MEMB002A|-|542,33,negative,237,bcd_FlyReg.fm
3454,-4.155333995819092,VT65128|0|MEMB002A|-|542,34,positive,238,bcd_FlyReg.fm
3455,-4.155333995819092,VT65128|0|MEMB002A|-|542,34,negative,238,bcd_FlyReg.fm
3456,-8.4032621383667,VT65128|0|MEMB002A|-|542,35,positive,239,bcd_FlyReg.fm
3457,-3.155334234237671,VT65128|0|MEMB002A|-|542,35,negative,239,bcd_FlyReg.fm
3458,-6.140227317810059,VT65128|0|MEMB002A|-|542,36,positive,240,bcd_FlyReg.fm
3459,1.0925933122634888,VT65128|0|MEMB002A|-|542,36,negative,240,bcd_FlyReg.fm
3460,-5.140227317810059,VT65128|0|MEMB002A|-|542,37,positive,241,bcd_FlyReg.fm
3461,0.9405902028083801,VT65128|0|MEMB002A|-|542,37,negative,241,bcd_FlyReg.fm
3462,-1.892299771308899,VT65128|0|MEMB002A|-|542,38,positive,242,bcd_FlyReg.fm
3463,1.107700228691101,VT65128|0|MEMB002A|-|542,38,negative,242,bcd_FlyReg.fm
3464,1.0692260265350342,VT65128|0|MEMB002A|-|542,39,positive,243,bcd_FlyReg.fm
3465,-1.953700304031372,VT65128|0|MEMB002A|-|542,39,negative,243,bcd_FlyReg.fm
3466,3.2557530403137207,VT65128|0|MEMB002A|-|542,40,positive,244,bcd_FlyReg.fm
3467,0.007825496606528759,VT65128|0|MEMB002A|-|542,40,negative,244,bcd_FlyReg.fm
