,score,species,raw_position,strand,align_position,motif
23072,-2.8841705322265625,VT63725|0|MEMB002A|-|618,0,positive,0,cad_FlyReg.fm
23073,2.648324489593506,VT63725|0|MEMB002A|-|618,0,negative,0,cad_FlyReg.fm
23074,-2.8841705322265625,VT63725|0|MEMB002A|-|618,1,positive,1,cad_FlyReg.fm
23075,0.06336206197738647,VT63725|0|MEMB002A|-|618,1,negative,1,cad_FlyReg.fm
23076,-1.9910857677459717,VT63725|0|MEMB002A|-|618,2,positive,2,cad_FlyReg.fm
23077,-2.106562852859497,VT63725|0|MEMB002A|-|618,2,negative,2,cad_FlyReg.fm
23078,-2.8841705322265625,VT63725|0|MEMB002A|-|618,3,positive,3,cad_FlyReg.fm
23079,2.648324489593506,VT63725|0|MEMB002A|-|618,3,negative,3,cad_FlyReg.fm
23080,-3.5216004848480225,VT63725|0|MEMB002A|-|618,4,positive,4,cad_FlyReg.fm
23081,-1.5216004848480225,VT63725|0|MEMB002A|-|618,4,negative,4,cad_FlyReg.fm
23082,0.008914276957511902,VT63725|0|MEMB002A|-|618,5,positive,5,cad_FlyReg.fm
23083,-2.106562852859497,VT63725|0|MEMB002A|-|618,5,negative,5,cad_FlyReg.fm
23084,-2.8841705322265625,VT63725|0|MEMB002A|-|618,6,positive,6,cad_FlyReg.fm
23085,0.6483245491981506,VT63725|0|MEMB002A|-|618,6,negative,6,cad_FlyReg.fm
23086,-1.9366379976272583,VT63725|0|MEMB002A|-|618,7,positive,7,cad_FlyReg.fm
23087,-0.8841705322265625,VT63725|0|MEMB002A|-|618,7,negative,7,cad_FlyReg.fm
23088,0.008914276957511902,VT63725|0|MEMB002A|-|618,8,positive,8,cad_FlyReg.fm
23089,-2.106562852859497,VT63725|0|MEMB002A|-|618,8,negative,8,cad_FlyReg.fm
23090,-2.8841705322265625,VT63725|0|MEMB002A|-|618,9,positive,9,cad_FlyReg.fm
23091,0.6483245491981506,VT63725|0|MEMB002A|-|618,9,negative,9,cad_FlyReg.fm
23092,-2.5216004848480225,VT63725|0|MEMB002A|-|618,10,positive,10,cad_FlyReg.fm
23093,0.1158294826745987,VT63725|0|MEMB002A|-|618,10,negative,10,cad_FlyReg.fm
23094,0.1158294826745987,VT63725|0|MEMB002A|-|618,11,positive,11,cad_FlyReg.fm
23095,-0.5216004252433777,VT63725|0|MEMB002A|-|618,11,negative,11,cad_FlyReg.fm
23096,-1.5216004848480225,VT63725|0|MEMB002A|-|618,12,positive,12,cad_FlyReg.fm
23097,-2.5216004848480225,VT63725|0|MEMB002A|-|618,12,negative,12,cad_FlyReg.fm
23098,-0.9910857081413269,VT63725|0|MEMB002A|-|618,13,positive,13,cad_FlyReg.fm
23099,-0.9910857081413269,VT63725|0|MEMB002A|-|618,13,negative,13,cad_FlyReg.fm
23100,-0.40612322092056274,VT63725|0|MEMB002A|-|618,14,positive,14,cad_FlyReg.fm
23101,-0.9366379380226135,VT63725|0|MEMB002A|-|618,14,negative,14,cad_FlyReg.fm
23102,-2.8841705322265625,VT63725|0|MEMB002A|-|618,15,positive,15,cad_FlyReg.fm
23103,3.1788392066955566,VT63725|0|MEMB002A|-|618,15,negative,15,cad_FlyReg.fm
23104,-1.8841705322265625,VT63725|0|MEMB002A|-|618,16,positive,16,cad_FlyReg.fm
23105,-0.5216004252433777,VT63725|0|MEMB002A|-|618,16,negative,16,cad_FlyReg.fm
23106,-3.106562852859497,VT63725|0|MEMB002A|-|618,17,positive,17,cad_FlyReg.fm
23107,-1.1065629720687866,VT63725|0|MEMB002A|-|618,17,negative,17,cad_FlyReg.fm
23108,-0.8841705322265625,VT63725|0|MEMB002A|-|618,18,positive,18,cad_FlyReg.fm
23109,0.06336206197738647,VT63725|0|MEMB002A|-|618,18,negative,18,cad_FlyReg.fm
23110,-0.9366379380226135,VT63725|0|MEMB002A|-|618,19,positive,19,cad_FlyReg.fm
23111,-3.5216004848480225,VT63725|0|MEMB002A|-|618,19,negative,19,cad_FlyReg.fm
23112,-1.5216004848480225,VT63725|0|MEMB002A|-|618,20,positive,20,cad_FlyReg.fm
23113,-0.9910857081413269,VT63725|0|MEMB002A|-|618,20,negative,20,cad_FlyReg.fm
23114,-1.5216004848480225,VT63725|0|MEMB002A|-|618,21,positive,21,cad_FlyReg.fm
23115,-3.5216004848480225,VT63725|0|MEMB002A|-|618,21,negative,21,cad_FlyReg.fm
23116,0.06336206197738647,VT63725|0|MEMB002A|-|618,22,positive,22,cad_FlyReg.fm
23117,-2.8841705322265625,VT63725|0|MEMB002A|-|618,22,negative,22,cad_FlyReg.fm
23118,-0.5216004252433777,VT63725|0|MEMB002A|-|618,23,positive,23,cad_FlyReg.fm
23119,-1.8841705322265625,VT63725|0|MEMB002A|-|618,23,negative,23,cad_FlyReg.fm
23120,0.7007919549942017,VT63725|0|MEMB002A|-|618,24,positive,24,cad_FlyReg.fm
23121,-1.2992080450057983,VT63725|0|MEMB002A|-|618,24,negative,24,cad_FlyReg.fm
23122,0.06336206197738647,VT63725|0|MEMB002A|-|618,25,positive,25,cad_FlyReg.fm
23123,-1.8841705322265625,VT63725|0|MEMB002A|-|618,25,negative,25,cad_FlyReg.fm
23124,-0.9910857081413269,VT63725|0|MEMB002A|-|618,26,positive,26,cad_FlyReg.fm
23125,-0.9910857081413269,VT63725|0|MEMB002A|-|618,26,negative,26,cad_FlyReg.fm
23126,-1.5216004848480225,VT63725|0|MEMB002A|-|618,27,positive,27,cad_FlyReg.fm
23127,0.06336206197738647,VT63725|0|MEMB002A|-|618,27,negative,27,cad_FlyReg.fm
23128,-2.106562852859497,VT63725|0|MEMB002A|-|618,28,positive,28,cad_FlyReg.fm
